2025-05-07 12:01:24,921 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['mean_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_all', visual_dir='./visual/omi/neighbor_all', num_workers=36, gif_duration=500)
2025-05-07 12:01:24,922 - INFO - 当前评分模式: ['mean_ratio']
2025-05-07 12:01:24,922 - INFO - 
==================================================
2025-05-07 12:01:24,922 - INFO - 开始执行网格搜索...
2025-05-07 12:01:49,310 - INFO - [omi-8.txt] mode=mean_ratio, all=None, threshold=4.0, P=0.3580, R=0.9355, F1=0.5179
2025-05-07 12:01:49,310 - INFO - [omi-8.txt] mode=mean_ratio, all=None, threshold=4.5, P=0.3580, R=0.9355, F1=0.5179
2025-05-07 12:01:49,310 - INFO - [omi-8.txt] mode=mean_ratio, all=None, threshold=5.0, P=0.3580, R=0.9355, F1=0.5179
2025-05-07 12:01:49,310 - INFO - [omi-8.txt] mode=mean_ratio, all=None, threshold=5.5, P=0.3580, R=0.9355, F1=0.5179
2025-05-07 12:01:49,311 - INFO - [omi-8.txt] mode=mean_ratio, all=None, threshold=6.0, P=0.3580, R=0.9355, F1=0.5179
2025-05-07 12:01:49,311 - INFO - [omi-8.txt] mode=mean_ratio, all=None, threshold=6.5, P=0.3580, R=0.9355, F1=0.5179
2025-05-07 12:01:49,319 - INFO - [omi-8.txt] mode=mean_ratio, all=None, threshold=7.0, P=0.3580, R=0.9355, F1=0.5179
2025-05-07 12:01:49,368 - INFO - [omi-2] Starting grid search...
2025-05-07 12:01:52,861 - INFO - [omi-2.txt] mode=mean_ratio, all=None, threshold=0.0, P=0.4559, R=1.0000, F1=0.6263
2025-05-07 12:01:52,862 - INFO - [omi-2.txt] mode=mean_ratio, all=None, threshold=0.5, P=0.4559, R=1.0000, F1=0.6263
2025-05-07 12:01:52,862 - INFO - [omi-2.txt] mode=mean_ratio, all=None, threshold=1.0, P=0.4559, R=1.0000, F1=0.6263
2025-05-07 12:01:52,862 - INFO - [omi-2.txt] mode=mean_ratio, all=None, threshold=1.5, P=0.4559, R=1.0000, F1=0.6263
2025-05-07 12:01:52,863 - INFO - [omi-2.txt] mode=mean_ratio, all=None, threshold=2.0, P=0.4559, R=1.0000, F1=0.6263
2025-05-07 12:01:52,863 - INFO - [omi-2.txt] mode=mean_ratio, all=None, threshold=2.5, P=0.4559, R=1.0000, F1=0.6263
2025-05-07 12:01:52,863 - INFO - [omi-2.txt] mode=mean_ratio, all=None, threshold=3.0, P=0.4559, R=1.0000, F1=0.6263
2025-05-07 12:01:52,863 - INFO - [omi-2.txt] mode=mean_ratio, all=None, threshold=3.5, P=0.4559, R=1.0000, F1=0.6263
2025-05-07 12:01:52,863 - INFO - [omi-2.txt] mode=mean_ratio, all=None, threshold=4.0, P=0.4559, R=1.0000, F1=0.6263
2025-05-07 12:01:52,863 - INFO - [omi-2.txt] mode=mean_ratio, all=None, threshold=4.5, P=0.4559, R=1.0000, F1=0.6263
2025-05-07 12:01:52,863 - INFO - [omi-2.txt] mode=mean_ratio, all=None, threshold=5.0, P=0.4559, R=1.0000, F1=0.6263
2025-05-07 12:01:52,863 - INFO - [omi-2.txt] mode=mean_ratio, all=None, threshold=5.5, P=0.4559, R=1.0000, F1=0.6263
2025-05-07 12:01:52,864 - INFO - [omi-2.txt] mode=mean_ratio, all=None, threshold=6.0, P=0.4559, R=1.0000, F1=0.6263
2025-05-07 12:01:52,864 - INFO - [omi-2.txt] mode=mean_ratio, all=None, threshold=6.5, P=0.4559, R=1.0000, F1=0.6263
2025-05-07 12:01:52,864 - INFO - [omi-2.txt] mode=mean_ratio, all=None, threshold=7.0, P=0.4559, R=1.0000, F1=0.6263
2025-05-07 12:01:52,913 - INFO - [omi-11] Starting grid search...
2025-05-07 12:01:56,425 - INFO - [omi-11.txt] mode=mean_ratio, all=None, threshold=0.0, P=0.3434, R=0.9828, F1=0.5089
2025-05-07 12:01:56,436 - INFO - [omi-11.txt] mode=mean_ratio, all=None, threshold=0.5, P=0.3434, R=0.9828, F1=0.5089
2025-05-07 12:01:56,444 - INFO - [omi-11.txt] mode=mean_ratio, all=None, threshold=1.0, P=0.3434, R=0.9828, F1=0.5089
2025-05-07 12:01:56,667 - INFO - [omi-11.txt] mode=mean_ratio, all=None, threshold=1.5, P=0.3434, R=0.9828, F1=0.5089
2025-05-07 12:01:56,668 - INFO - [omi-11.txt] mode=mean_ratio, all=None, threshold=2.0, P=0.3434, R=0.9828, F1=0.5089
2025-05-07 12:01:56,668 - INFO - [omi-11.txt] mode=mean_ratio, all=None, threshold=2.5, P=0.3434, R=0.9828, F1=0.5089
2025-05-07 12:01:56,668 - INFO - [omi-11.txt] mode=mean_ratio, all=None, threshold=3.0, P=0.3434, R=0.9828, F1=0.5089
2025-05-07 12:01:56,668 - INFO - [omi-11.txt] mode=mean_ratio, all=None, threshold=3.5, P=0.3434, R=0.9828, F1=0.5089
2025-05-07 12:01:56,831 - INFO - [omi-11.txt] mode=mean_ratio, all=None, threshold=4.0, P=0.3434, R=0.9828, F1=0.5089
2025-05-07 12:01:56,832 - INFO - [omi-11.txt] mode=mean_ratio, all=None, threshold=4.5, P=0.3434, R=0.9828, F1=0.5089
2025-05-07 12:01:56,832 - INFO - [omi-11.txt] mode=mean_ratio, all=None, threshold=5.0, P=0.3434, R=0.9828, F1=0.5089
2025-05-07 12:01:56,832 - INFO - [omi-11.txt] mode=mean_ratio, all=None, threshold=5.5, P=0.3434, R=0.9828, F1=0.5089
2025-05-07 12:01:56,832 - INFO - [omi-11.txt] mode=mean_ratio, all=None, threshold=6.0, P=0.3434, R=0.9828, F1=0.5089
2025-05-07 12:01:56,832 - INFO - [omi-11.txt] mode=mean_ratio, all=None, threshold=6.5, P=0.3434, R=0.9828, F1=0.5089
2025-05-07 12:01:56,832 - INFO - [omi-11.txt] mode=mean_ratio, all=None, threshold=7.0, P=0.3434, R=0.9828, F1=0.5089
2025-05-07 12:01:56,880 - INFO - [omi-10] Starting grid search...
