2025-04-17 17:45:58,157 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='els', window_size=5, score_thresholds=array([0. , 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1. , 1.1, 1.2,
       1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2. , 2.1, 2.2, 2.3, 2.4, 2.5,
       2.6, 2.7, 2.8, 2.9, 3. , 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8,
       3.9, 4. , 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5. , 5.1,
       5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6. , 6.1, 6.2, 6.3, 6.4,
       6.5, 6.6, 6.7, 6.8, 6.9, 7. ]), topk_range=range(0, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['robust_zscore'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/els/neighbor_topk', visual_dir='./visual/els/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-17 17:45:58,157 - INFO - 当前评分模式: ['robust_zscore']
2025-04-17 17:45:58,157 - INFO - 
==================================================
2025-04-17 17:45:58,157 - INFO - 开始执行网格搜索...
2025-04-17 17:45:58,162 - INFO - [els-1] Starting grid search...
2025-04-17 17:45:59,949 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=1.6, P=0.2984, R=0.3109, F1=0.3045
2025-04-17 17:45:59,949 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=1.7, P=0.3033, R=0.3109, F1=0.3071
2025-04-17 17:45:59,950 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=1.8, P=0.3096, R=0.3109, F1=0.3103
2025-04-17 17:45:59,951 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=1.9, P=0.3096, R=0.3109, F1=0.3103
2025-04-17 17:45:59,951 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=2.0, P=0.3136, R=0.3109, F1=0.3122
2025-04-17 17:45:59,951 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=2.1, P=0.3136, R=0.3109, F1=0.3122
2025-04-17 17:46:00,236 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=2.2, P=0.3004, R=0.2815, F1=0.2907
2025-04-17 17:46:00,237 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=2.3, P=0.3073, R=0.2815, F1=0.2939
2025-04-17 17:46:00,237 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=2.4, P=0.3102, R=0.2815, F1=0.2952
2025-04-17 17:46:00,237 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=2.5, P=0.3160, R=0.2815, F1=0.2978
2025-04-17 17:46:00,238 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=2.6, P=0.3202, R=0.2731, F1=0.2948
2025-04-17 17:46:00,238 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=2.7, P=0.3265, R=0.2689, F1=0.2949
2025-04-17 17:46:00,238 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=2.8, P=0.3212, R=0.2605, F1=0.2877
2025-04-17 17:46:00,238 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=2.9, P=0.3212, R=0.2605, F1=0.2877
2025-04-17 17:46:00,238 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=3.0, P=0.3229, R=0.2605, F1=0.2884
2025-04-17 17:46:00,238 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=3.1, P=0.3229, R=0.2605, F1=0.2884
2025-04-17 17:46:00,309 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=3.2, P=0.3211, R=0.2563, F1=0.2850
2025-04-17 17:46:00,309 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=3.3, P=0.3138, R=0.2479, F1=0.2770
2025-04-17 17:46:00,316 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=3.4, P=0.3060, R=0.2353, F1=0.2660
2025-04-17 17:46:00,316 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=3.5, P=0.3077, R=0.2353, F1=0.2667
2025-04-17 17:46:00,316 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=3.6, P=0.3094, R=0.2353, F1=0.2673
2025-04-17 17:46:00,316 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=3.7, P=0.3073, R=0.2311, F1=0.2638
2025-04-17 17:46:00,316 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=3.8, P=0.3107, R=0.2311, F1=0.2651
2025-04-17 17:46:00,316 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=3.9, P=0.3086, R=0.2269, F1=0.2615
2025-04-17 17:46:00,423 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=4.0, P=0.3046, R=0.2227, F1=0.2573
2025-04-17 17:46:00,424 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=4.1, P=0.3046, R=0.2227, F1=0.2573
2025-04-17 17:46:00,426 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=4.2, P=0.3006, R=0.2185, F1=0.2530
2025-04-17 17:46:00,471 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=4.3, P=0.3023, R=0.2185, F1=0.2537
2025-04-17 17:46:00,471 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=4.4, P=0.2941, R=0.2101, F1=0.2451
2025-04-17 17:46:00,471 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=4.5, P=0.2941, R=0.2101, F1=0.2451
2025-04-17 17:46:00,471 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=4.6, P=0.2917, R=0.2059, F1=0.2414
2025-04-17 17:46:00,471 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=4.7, P=0.2952, R=0.2059, F1=0.2426
2025-04-17 17:46:00,472 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=4.8, P=0.2988, R=0.2059, F1=0.2438
2025-04-17 17:46:00,472 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=4.9, P=0.2988, R=0.2059, F1=0.2438
2025-04-17 17:46:00,579 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=5.0, P=0.3025, R=0.2059, F1=0.2450
