2025-04-15 23:33:02,581 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['mean_ratio'], use_topk=False, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkFalse', visual_dir='./visual/use_topkFalse', num_workers=4, gif_duration=500)
2025-04-15 23:33:02,582 - INFO - pearson correlation 取绝对值
2025-04-15 23:33:02,582 - INFO - 当前评分模式: ['mean_ratio']
2025-04-15 23:33:02,582 - INFO - 
==================================================
2025-04-15 23:33:02,582 - INFO - 开始执行网格搜索...
2025-04-15 23:33:02,588 - INFO - [omi-1] Starting grid search...
2025-04-15 23:33:46,607 - INFO - [omi-2.txt] mode=mean_ratio, top_k=None, threshold=5.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:33:46,612 - INFO - [omi-2.txt] mode=mean_ratio, top_k=None, threshold=6.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:33:46,674 - INFO - [omi-2.txt] mode=mean_ratio, top_k=None, threshold=6.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:33:48,459 - INFO - [omi-2.txt] mode=mean_ratio, top_k=None, threshold=7.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:33:48,475 - INFO - [omi-3] Starting grid search...
2025-04-15 23:33:51,629 - INFO - [omi-3.txt] mode=mean_ratio, top_k=None, threshold=1.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:33:51,629 - INFO - [omi-3.txt] mode=mean_ratio, top_k=None, threshold=1.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:33:51,662 - INFO - [omi-3.txt] mode=mean_ratio, top_k=None, threshold=2.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:33:51,719 - INFO - [omi-3.txt] mode=mean_ratio, top_k=None, threshold=2.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:33:53,656 - INFO - [omi-3.txt] mode=mean_ratio, top_k=None, threshold=3.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:33:53,704 - INFO - [omi-3.txt] mode=mean_ratio, top_k=None, threshold=3.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:33:53,781 - INFO - [omi-3.txt] mode=mean_ratio, top_k=None, threshold=4.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:33:53,801 - INFO - [omi-3.txt] mode=mean_ratio, top_k=None, threshold=4.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:33:55,794 - INFO - [omi-3.txt] mode=mean_ratio, top_k=None, threshold=5.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:33:55,795 - INFO - [omi-3.txt] mode=mean_ratio, top_k=None, threshold=5.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:33:55,872 - INFO - [omi-3.txt] mode=mean_ratio, top_k=None, threshold=6.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:33:55,872 - INFO - [omi-3.txt] mode=mean_ratio, top_k=None, threshold=6.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:33:57,653 - INFO - [omi-3.txt] mode=mean_ratio, top_k=None, threshold=7.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:33:57,674 - INFO - [omi-4] Starting grid search...
2025-04-15 23:34:00,810 - INFO - [omi-4.txt] mode=mean_ratio, top_k=None, threshold=1.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:34:00,810 - INFO - [omi-4.txt] mode=mean_ratio, top_k=None, threshold=1.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:34:00,821 - INFO - [omi-4.txt] mode=mean_ratio, top_k=None, threshold=2.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:34:00,902 - INFO - [omi-4.txt] mode=mean_ratio, top_k=None, threshold=2.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:34:02,880 - INFO - [omi-4.txt] mode=mean_ratio, top_k=None, threshold=3.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:34:02,927 - INFO - [omi-4.txt] mode=mean_ratio, top_k=None, threshold=3.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:34:02,927 - INFO - [omi-4.txt] mode=mean_ratio, top_k=None, threshold=4.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:34:03,035 - INFO - [omi-4.txt] mode=mean_ratio, top_k=None, threshold=4.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:34:04,989 - INFO - [omi-4.txt] mode=mean_ratio, top_k=None, threshold=5.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:34:04,989 - INFO - [omi-4.txt] mode=mean_ratio, top_k=None, threshold=5.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:34:05,057 - INFO - [omi-4.txt] mode=mean_ratio, top_k=None, threshold=6.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:34:05,094 - INFO - [omi-4.txt] mode=mean_ratio, top_k=None, threshold=6.5, use_topk=False, P=0.8049, R=0.9851, F1=0.8859
2025-04-15 23:34:06,895 - INFO - [omi-4.txt] mode=mean_ratio, top_k=None, threshold=7.0, use_topk=False, P=0.8049, R=0.9851, F1=0.8859
2025-04-15 23:34:06,915 - INFO - [omi-5] Starting grid search...
2025-04-15 23:34:10,235 - INFO - [omi-5.txt] mode=mean_ratio, top_k=None, threshold=1.0, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:34:10,237 - INFO - [omi-5.txt] mode=mean_ratio, top_k=None, threshold=1.5, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:34:10,237 - INFO - [omi-5.txt] mode=mean_ratio, top_k=None, threshold=2.0, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:34:10,289 - INFO - [omi-5.txt] mode=mean_ratio, top_k=None, threshold=2.5, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:34:12,691 - INFO - [omi-5.txt] mode=mean_ratio, top_k=None, threshold=3.0, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:34:12,693 - INFO - [omi-5.txt] mode=mean_ratio, top_k=None, threshold=3.5, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:34:12,693 - INFO - [omi-5.txt] mode=mean_ratio, top_k=None, threshold=4.0, use_topk=False, P=0.4579, R=1.0000, F1=0.6282
2025-04-15 23:34:12,727 - INFO - [omi-5.txt] mode=mean_ratio, top_k=None, threshold=4.5, use_topk=False, P=0.4579, R=1.0000, F1=0.6282
2025-04-15 23:34:14,700 - INFO - [omi-5.txt] mode=mean_ratio, top_k=None, threshold=5.0, use_topk=False, P=0.4579, R=1.0000, F1=0.6282
2025-04-15 23:34:14,809 - INFO - [omi-5.txt] mode=mean_ratio, top_k=None, threshold=5.5, use_topk=False, P=0.4579, R=1.0000, F1=0.6282
2025-04-15 23:34:14,849 - INFO - [omi-5.txt] mode=mean_ratio, top_k=None, threshold=6.0, use_topk=False, P=0.4623, R=1.0000, F1=0.6323
2025-04-15 23:34:14,947 - INFO - [omi-5.txt] mode=mean_ratio, top_k=None, threshold=6.5, use_topk=False, P=0.4623, R=1.0000, F1=0.6323
2025-04-15 23:34:16,667 - INFO - [omi-5.txt] mode=mean_ratio, top_k=None, threshold=7.0, use_topk=False, P=0.4571, R=0.9796, F1=0.6234
2025-04-15 23:34:16,684 - INFO - [omi-6] Starting grid search...
2025-04-15 23:34:19,933 - INFO - [omi-6.txt] mode=mean_ratio, top_k=None, threshold=1.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:34:19,943 - INFO - [omi-6.txt] mode=mean_ratio, top_k=None, threshold=1.5, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:34:19,943 - INFO - [omi-6.txt] mode=mean_ratio, top_k=None, threshold=2.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:34:19,977 - INFO - [omi-6.txt] mode=mean_ratio, top_k=None, threshold=2.5, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:34:22,108 - INFO - [omi-6.txt] mode=mean_ratio, top_k=None, threshold=3.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:34:22,126 - INFO - [omi-6.txt] mode=mean_ratio, top_k=None, threshold=3.5, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:34:22,141 - INFO - [omi-6.txt] mode=mean_ratio, top_k=None, threshold=4.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:34:22,143 - INFO - [omi-6.txt] mode=mean_ratio, top_k=None, threshold=4.5, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:34:24,200 - INFO - [omi-6.txt] mode=mean_ratio, top_k=None, threshold=5.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:34:24,231 - INFO - [omi-6.txt] mode=mean_ratio, top_k=None, threshold=5.5, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:34:24,231 - INFO - [omi-6.txt] mode=mean_ratio, top_k=None, threshold=6.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:34:24,238 - INFO - [omi-6.txt] mode=mean_ratio, top_k=None, threshold=6.5, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:34:26,133 - INFO - [omi-6.txt] mode=mean_ratio, top_k=None, threshold=7.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:34:26,148 - INFO - [omi-7] Starting grid search...
2025-04-15 23:34:29,259 - INFO - [omi-7.txt] mode=mean_ratio, top_k=None, threshold=1.0, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:34:29,294 - INFO - [omi-7.txt] mode=mean_ratio, top_k=None, threshold=1.5, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
